Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
641789,Lupin Ltd. - <b>INE326A01037</b>,500257,LUPIN,/Stocks?StockId=641789&Exchange=0,,bse,Lupin
399744,Lux Industries Ltd. - <b>INE150G01020</b>,539542,LUXIND,/Stocks?StockId=399744&Exchange=0,,bse,Lux Industries
1003478,Laxmi Organic Industries Ltd - <b>INE576O01020</b>,543277,LXCHEM,/Stocks?StockId=1003478&Exchange=0,,bse,Laxmi Organic
189121,Lyka Labs Ltd - <b>INE933A01014</b>,500259,LYKALABS,/Stocks?StockId=189121&Exchange=0,,bse,Lyka Labs
596697,Lypsa Gems & Jewellery Ltd - <b>INE142K01011</b>,534532,LYPSAGEMS,/Stocks?StockId=596697&Exchange=0,,bse,Lypsa Gems
845805,Mahindra & Mahindra Ltd - <b>INE101A01026</b>,500520,M&M,/Stocks?StockId=845805&Exchange=0,,bse,M & M
605836,Mahindra & Mahindra Financial Services Ltd - <b>INE774D01024</b>,532720,M&MFIN,/Stocks?StockId=605836&Exchange=0,,bse,M & M Fin. Serv.
729029,Maan Aluminium Ltd. - <b>INE215I01019</b>,532906,MAANALU,/Stocks?StockId=729029&Exchange=0,,bse,Maan Aluminium
1002941,Macpower CNC Machines Ltd - <b>INE155Z01011</b>,535057,MACPOWER,/Stocks?StockId=1002941&Exchange=1,,nse,Macpower CNC
698341,Madhav Marbles & Granites Ltd. - <b>INE925C01016</b>,515093,MADHAV,/Stocks?StockId=698341&Exchange=0,,bse,Madhav Marbles
951807,Madhucon Projects Ltd - <b>INE378D01032</b>,531497,MADHUCON,/Stocks?StockId=951807&Exchange=0,,bse,Madhucon Project
694669,Madras Fertilizers Ltd - <b>INE414A01015</b>,590134,MADRASFERT,/Stocks?StockId=694669&Exchange=0,,bse,Madras Fertilize
1002798,Magadh Sugar & Energy Ltd - <b>INE347W01011</b>,540650,MAGADSUGAR,/Stocks?StockId=1002798&Exchange=0,,bse,Magadh Sugar
348058,Magma Fincorp Ltd - <b>INE511C01022</b>,524000,MAGMA,/Stocks?StockId=348058&Exchange=0,,bse,Magma Fincorp
732568,Magnum Ventures Ltd - <b>INE387I01016</b>,532896,MAGNUM,/Stocks?StockId=732568&Exchange=0,,bse,Magnum Ventures
291436,Bank of Maharashtra - <b>INE457A01014</b>,532525,MAHABANK,/Stocks?StockId=291436&Exchange=0,,bse,Bank of Maha
528922,Maha Rashtra Apex Corporation Ltd - <b>INE843B01013</b>,523384,MAHAPEXLTD,/Stocks?StockId=528922&Exchange=0,,bse,Maha Rashtra Apx
558565,Mahamaya Steel Industries Ltd - <b>INE451L01014</b>,513554,MAHASTEEL,/Stocks?StockId=558565&Exchange=0,,bse,Mahamaya Steel
514917,Mahindra EPC Irrigation Ltd - <b>INE215D01010</b>,523754,MAHEPC,/Stocks?StockId=514917&Exchange=0,,bse,Mahindra EPC
1002703,Maheshwari Logistics Ltd - <b>INE263W01010</b>,538394,MAHESHWARI,/Stocks?StockId=1002703&Exchange=1,,nse,Maheshwari Logi.
343371,Mahindra CIE Automotive Ltd - <b>INE536H01010</b>,532756,MAHINDCIE,/Stocks?StockId=343371&Exchange=0,,bse,Mahindra CIE
209624,Mahindra Lifespace Developers Ltd - <b>INE813A01018</b>,532313,MAHLIFE,/Stocks?StockId=209624&Exchange=0,,bse,Mahindra Life.
1002873,Mahindra Logistics Ltd - <b>INE766P01016</b>,540768,MAHLOG,/Stocks?StockId=1002873&Exchange=0,,bse,Mahindra Logis.
802538,Maharashtra Scooters Ltd - <b>INE288A01013</b>,500266,MAHSCOOTER,/Stocks?StockId=802538&Exchange=0,,bse,Mah. Scooters
721234,Maharashtra Seamless Ltd - <b>INE271B01025</b>,500265,MAHSEAMLES,/Stocks?StockId=721234&Exchange=0,,bse,Mah. Seamless
132112,Maithan Alloys Ltd. - <b>INE683C01011</b>,590078,MAITHANALL,/Stocks?StockId=132112&Exchange=0,,bse,Maithan Alloys
999966,Majesco Ltd - <b>INE898S01029</b>,539289,MAJESCO,/Stocks?StockId=999966&Exchange=0,,bse,Majesco
610094,Malu Paper Mills Ltd - <b>INE383H01017</b>,532728,MALUPAPER,/Stocks?StockId=610094&Exchange=0,,bse,Malu Paper
740084,Manaksia Aluminium Company Ltd - <b>INE859Q01017</b>,539045,MANAKALUCO,/Stocks?StockId=740084&Exchange=0,,bse,Manaksia Alumi.
333553,Manaksia Coated Metals & Industries Ltd. - <b>INE830Q01018</b>,539046,MANAKCOAT,/Stocks?StockId=333553&Exchange=0,,bse,Manaksia Coated
977821,Manaksia Ltd - <b>INE015D01022</b>,532932,MANAKSIA,/Stocks?StockId=977821&Exchange=0,,bse,Manaksia
939595,Manaksia Steels Ltd. - <b>INE824Q01011</b>,539044,MANAKSTEEL,/Stocks?StockId=939595&Exchange=0,,bse,Manaksia Steels
713887,Manali Petrochemicals Ltd - <b>INE201A01024</b>,500268,MANALIPETC,/Stocks?StockId=713887&Exchange=0,,bse,Manali Petrochem
343801,Manappuram Finance Ltd - <b>INE522D01027</b>,531213,MANAPPURAM,/Stocks?StockId=343801&Exchange=0,,bse,Manappuram Fin.
138636,Mangalam Drugs and Organics Ltd - <b>INE584F01014</b>,532637,MANGALAM,/Stocks?StockId=138636&Exchange=0,,bse,Mangalam Drugs
885398,Mangalore Chemicals & Fertilizers Ltd - <b>INE558B01017</b>,530011,MANGCHEFER,/Stocks?StockId=885398&Exchange=0,,bse,Mangalore Chem.
449578,Mangalam Cement Ltd - <b>INE347A01017</b>,502157,MANGLMCEM,/Stocks?StockId=449578&Exchange=0,,bse,Mangalam Cement
162437,Mangalam Timber Products Ltd - <b>INE805B01012</b>,516007,MANGTIMBER,/Stocks?StockId=162437&Exchange=0,,bse,Mangalam Timber
